id	text	url
1464745840447307778	Islanders' games postponed through Nov. 30 due to COVID-19 https://t.co/zy1QvYxZJw	https://twitter.com/h24news_ie/status/1464745840447307778
1464745671508955141	@RodKahx @CanuckTraveler @Dan_GT2 We need a different solution for that. We can no longer skimp on health expenditures. COVID is here to stay and so we’ll need to spend the money to deal with it.	https://twitter.com/h24news_ie/status/1464745671508955141
1464745671097991174	"""since Tuesday, more than 10,000 appointments have been booked for children aged 5-11 to receive their first dose of the COVID-19 vaccine.""

For reference - that is over 18% of the 5-11 population in New Brunswick have already been booked for their first dose."	https://twitter.com/h24news_ie/status/1464745671097991174
1464745604811300866	"""Pregnancy can be an exciting time, but also one of uncertainty. The COVID-19 pandemic understandably adds further stress and may cause anxiety in some people"" https://t.co/6aNYbKpdS8 via @mnt"	https://twitter.com/h24news_ie/status/1464745604811300866
1464745549194739714	@ShiroSpirit @Stonekettle If you read her original tweet she’s talking about the annual flu vaccine not the Covid vaccine so she’s misinformed about the flu vaccine. She’s double vaccinated plus has the booster. Everyone’s piling on her because she’s misinformed. I’ll admit defeat on the definition	https://twitter.com/h24news_ie/status/1464745549194739714
1464745531373142017	"@HockeyForLife9 @VoiceOfFranky Having hesitation is 💯 legitimate. 

But the difference between LPC/NDP and CPC speaks volumes here.

I can accept vaccine hesitancy, especially for child, especially for COVID. 

I can’t comprehend vaccine deniers . 

CPC is full of conspirationist and deniers of sciences ."	https://twitter.com/h24news_ie/status/1464745531373142017
1464745319971889152	@jkenney leads by idealism not facts or things that actually make sense! I mean who let's all those people get sick and die? I do know there was a deal between him and @erinotoole so O'Toole wouldn't look bad on the support of the province's Covid response! #canpoli https://t.co/S7BglJlbaI	https://twitter.com/h24news_ie/status/1464745319971889152
1464745263541612546	"Remove all Covid restrictions. 

Time for the Canadian govt to stop abusing its citizens. 

#bcpoli #cdnpoli https://t.co/ym6URnymZb"	https://twitter.com/h24news_ie/status/1464745263541612546
1464745254083448838	@Jeffistopheles @AmyAThatcher Well, she did collect that government socialist covid handout	https://twitter.com/h24news_ie/status/1464745254083448838
1464745131890860039	"@ColorsTV @BeingSalmanKhan My favorite is #UmarRiaz..

Why?

Because He is the only 1 who connect with me &amp; as an Audience like to see Real, Natural and Honest person..
+
I respect Doctors who helped and helping  in critical COVID time..

But, you don't understand the value of the Doctors and Real Heros.."	https://twitter.com/h24news_ie/status/1464745131890860039
1464745031336488961	"1 year before a mystery virus appeared in Wuhan  ( December 2019).  There was Clade X . Yet another pandemic dry run or war game that involved Bill Gates. It mimicked Covid in many ways. 
#theysawitcoming
https://t.co/kEu2UjELUU"	https://twitter.com/h24news_ie/status/1464745031336488961
1464744884561195009	Remember folks, Moderna has NEVER PASSED STAGE 3 trials for 9 vaccines they have tried to put to market!!! Until emerg orders Moderna has never been able to Jab people!!! https://t.co/qKA7ugZRRu	https://twitter.com/h24news_ie/status/1464744884561195009
1464744846640533505	What we know about Omicron COVID-19 variant https://t.co/48KWGITKMq	https://twitter.com/h24news_ie/status/1464744846640533505
1464744753904242693	@RpsAgainstTrump Do they still believe Trump when he said drink Detergent to get rid of COVID? LOL they didn't drink enough then. LOL beyond Horrible,	https://twitter.com/h24news_ie/status/1464744753904242693
1464744710824673287	"Thank God. 
Children at negligible risk.
#CrimesAgainstHumanity 
49% of parents of children aged 5-11 refuse the vaccine against COVID https://t.co/AUdcOM5YJg"	https://twitter.com/h24news_ie/status/1464744710824673287
1464744661403291653	@freddyracingfan My MLA: no response. My MP: no response. Every member of @asdnnb DEC: no response.	https://twitter.com/h24news_ie/status/1464744661403291653
1464744623834906629	@QueenBeesCorner @AnneMH01 @dragoian_9 Omg I am so sorry to read this. I believe it. I also became positive for an autoimmune disease shortly after Pfizer.	https://twitter.com/h24news_ie/status/1464744623834906629
1464744609175805964	When Covid variants reach Omega humanity is doomed. https://t.co/JlcCnxexPG	https://twitter.com/h24news_ie/status/1464744609175805964
1464744603723218948	@B52Malmet They’re gonna shoot Covid right in the face	https://twitter.com/h24news_ie/status/1464744603723218948
1464744524811583489	"""How has Africa nearly eradicated Covid?"" the next day ""The world reacts new deadliest variant of Covid in South Africa with multiple mutations!""

Reality and comedy gold at this point. Was anyone really surprised by a new super bad variant? Cuz I wasn't. Reads like a book."	https://twitter.com/h24news_ie/status/1464744524811583489
1464744432713048065	@freddyracingfan The number of elected officials I have contacted this month giving my name and phone number and calmly and with evidence explaining that COVID is airborne...0 of them have even acknowledged my message.	https://twitter.com/h24news_ie/status/1464744432713048065
1464744419966418948	Covid is sure giving the Greek alphabet a work out... 😪	https://twitter.com/h24news_ie/status/1464744419966418948
1464744373178953733	Abstract 10712: Mrna COVID Vaccines Dramatically Increase Endothelial Inflammatory Markers and ACS Risk as Measured by the PULS Cardiac Test: a Warning https://t.co/ZVicxsWe5z	https://twitter.com/h24news_ie/status/1464744373178953733
1464744330552299520	@cgt5150 I’m getting my Covid booster in 2 weeks and then I will get a flu shot.	https://twitter.com/h24news_ie/status/1464744330552299520
1464744284750442500	COVID will continue to seek out and develop into more deadly versions of itself in the unvaccinated. Eventually it will mutate into something that works faster than we can. 1/2	https://twitter.com/h24news_ie/status/1464744284750442500
1464744274013179906	@birgitomo History will look back at our medical establishments’ ignorance towards aerosol Covid transmission just as we think of treating ‘mania’ using a coarse of leaches.	https://twitter.com/h24news_ie/status/1464744274013179906
